-9	-13	-6	-5	-29
4	4	4	0	8
2	18	14	8	6
24	12	4	24	23
17	21	7	9	26
-5	-17	-16	-9	-20
9	4	3	5	10
16	19	20	9	21
27	29	23	22	24
22	13	2	20	13
5	-6	-9	1	6
19	32	28	14	16
1	3	21	10	3
34	27	24	32	37
32	17	4	30	43
14	36	35	11	24
16	9	10	0	13
6	-7	3	8	5
10	-5	-6	1	-5
15	27	24	10	29
24	15	37	24	36
18	14	16	25	17
10	11	17	10	7
-24	-22	-24	-20	-21
-6	9	13	-12	8
4	1	10	5	4
20	8	17	18	13
21	33	21	20	45
27	16	32	32	30
25	10	23	0	16
6	16	15	4	6
-1	0	1	-1	-1
27	21	18	21	10
14	9	4	17	9
7	-4	7	11	8
6	22	3	4	8
-10	6	2	-7	-9
14	6	18	21	11
18	5	0	3	12
32	24	9	9	20
23	21	41	43	35
19	31	21	15	21
15	25	9	18	17
32	35	17	6	20
1	-9	1	7	-3
0	-1	5	12	10
42	32	22	34	46
0	-3	-3	-1	2
25	27	30	24	15
13	13	15	0	13
4	6	-11	6	-3
20	20	12	15	31
15	2	18	26	15
16	12	5	12	16
-24	-23	0	-22	-22
23	29	35	3	23
26	15	7	12	10
17	0	22	10	17
8	-3	6	22	11
-5	-3	-17	0	-4
-4	0	-14	-3	-7
22	0	-1	-2	7
5	0	5	7	8
-3	0	2	-3	-13
-5	0	9	8	-1
3	0	-7	15	2
24	0	19	26	30
18	0	11	22	25
16	0	15	17	16
14	0	17	21	25
28	0	-4	23	14
8	0	15	9	12
9	0	4	5	7
6	0	1	-2	12
14	0	-1	15	9
26	0	15	28	24
13	0	19	8	14
0	22	18	17	22
9	8	0	-13	-6
27	28	11	0	15
